id_pedido,id_cliente,id_produto,quantidade,valor_unit,valor_total,data_pedido
1,15,P003,3,167.6,502.8,2024-01-24
2,7,P006,8,562.45,4499.6,2025-02-18
3,9,P007,7,752.27,5265.89,2023-03-25
4,1,P008,9,914.59,8231.31,2023-12-25
5,3,P004,1,245.93,245.93,2023-09-11
6,1,P004,10,113.52,1135.2,2023-05-10
7,4,P008,10,2885.07,28850.7,2024-04-21
8,12,P005,3,583.24,1749.72,2025-02-04
9,6,P002,5,1072.96,5364.8,2023-01-27
10,19,P005,7,468.16,3277.12,2025-01-02
11,3,P004,10,231.94,2319.4,2024-10-04
12,4,P004,5,267.06,1335.3,2024-09-06
13,19,P002,1,1455.53,1455.53,2024-03-14
14,3,P006,9,770.9,6938.1,2023-01-13
15,16,P007,2,933.52,1867.04,2024-01-06
16,5,P008,7,1187.5,8312.5,2024-06-18
17,20,P005,9,676.05,6084.45,2024-04-21
18,19,P007,5,822.3,4111.5,2023-09-09
19,9,P002,8,1290.18,10321.44,2024-04-20
20,20,P010,7,184.1,1288.7,2024-05-21
21,6,P006,8,487.88,3903.04,2025-03-27
22,11,P005,5,734.18,3670.9,2024-12-19
23,18,P005,1,534.14,534.14,2023-07-15
24,8,P002,7,1681.72,11772.04,2025-02-15
25,16,P004,8,178.6,1428.8,2023-01-18
26,10,P002,4,1547.04,6188.16,2023-09-07
27,19,P005,6,510.29,3061.74,2024-06-27
28,14,P006,9,565.01,5085.09,2024-12-20
29,9,P008,5,1353.09,6765.45,2023-05-04
30,11,P004,2,243.43,486.86,2025-02-19
31,7,P003,4,408.51,1634.04,2023-10-11
32,17,P010,10,170.75,1707.5,2023-04-13
33,10,P004,4,159.39,637.56,2023-11-06
34,18,P001,3,4734.4,14203.2,2023-02-25
35,10,P009,3,3304.97,9914.91,2025-02-09
36,4,P008,1,2062.94,2062.94,2024-04-25
37,15,P008,6,1205.6,7233.6,2023-02-22
38,16,P005,2,702.16,1404.32,2024-02-15
39,3,P008,10,2184.78,21847.8,2023-02-24
40,5,P003,10,482.19,4821.9,2023-03-29
41,4,P004,9,248.18,2233.62,2024-09-12
42,20,P010,4,293.92,1175.68,2024-01-25
43,15,P008,5,2692.37,13461.85,2024-03-15
44,19,P005,10,283.13,2831.3,2025-01-27
45,7,P002,4,1323.43,5293.72,2023-03-25
46,8,P003,3,343.2,1029.6,2023-06-10
47,14,P001,8,6602.17,52817.36,2024-04-26
48,2,P005,4,408.46,1633.84,2023-10-17
49,3,P008,4,2832.6,11330.4,2025-03-17
50,7,P010,7,128.69,900.83,2023-08-19
51,9,P003,3,174.99,524.97,2023-06-19
52,20,P005,10,756.66,7566.6,2024-03-25
53,15,P002,5,2019.57,10097.85,2023-10-06
54,18,P009,8,2644.6,21156.8,2024-09-04
55,14,P001,6,6216.71,37300.26,2023-01-27
56,8,P002,10,1839.4,18394.0,2023-01-22
57,19,P005,1,669.71,669.71,2023-06-29
58,17,P008,8,2815.36,22522.88,2023-07-05
59,14,P010,8,342.26,2738.08,2024-04-26
60,14,P006,6,558.69,3352.14,2023-04-18
61,11,P003,7,392.79,2749.53,2023-10-23
62,18,P007,1,954.83,954.83,2023-11-19
63,11,P005,2,783.6,1567.2,2024-02-18
64,1,P009,9,2724.52,24520.68,2023-02-25
65,17,P004,6,216.98,1301.88,2024-05-25
66,2,P008,4,1387.52,5550.08,2023-05-15
67,15,P005,8,316.78,2534.24,2024-10-07
68,8,P010,3,177.69,533.07,2023-01-15
69,14,P009,2,1941.51,3883.02,2025-05-11
70,15,P002,2,1936.34,3872.68,2023-06-07
71,10,P008,9,2351.91,21167.19,2024-03-01
72,16,P008,4,1804.93,7219.72,2023-05-29
73,7,P007,10,1008.24,10082.4,2025-06-19
74,3,P003,5,420.44,2102.2,2025-05-24
75,11,P007,9,767.17,6904.53,2023-01-03
76,10,P005,10,568.96,5689.6,2024-11-06
77,5,P008,8,1984.88,15879.04,2023-12-20
78,18,P006,9,595.19,5356.71,2023-11-26
79,8,P004,10,164.25,1642.5,2025-05-26
80,2,P007,6,1244.71,7468.26,2024-12-23
81,13,P007,3,995.33,2985.99,2023-02-07
82,17,P003,10,266.2,2662.0,2023-04-13
83,4,P008,9,2802.97,25226.73,2023-01-16
84,14,P003,3,176.19,528.57,2025-03-11
85,11,P005,10,630.99,6309.9,2024-10-27
86,11,P002,9,1508.02,13572.18,2023-11-21
87,18,P008,1,2158.41,2158.41,2023-08-29
88,8,P005,2,488.68,977.36,2023-04-11
89,15,P002,3,2010.4,6031.2,2023-01-30
90,11,P001,1,4820.15,4820.15,2024-01-19
91,5,P007,4,1031.17,4124.68,2024-08-02
92,6,P003,3,177.64,532.92,2025-06-10
93,20,P007,4,997.67,3990.68,2024-08-20
94,8,P003,8,373.27,2986.16,2024-04-15
95,1,P005,8,745.67,5965.36,2024-11-24
96,6,P009,2,2657.71,5315.42,2023-12-20
97,10,P010,7,272.58,1908.06,2024-04-12
98,7,P005,7,719.33,5035.31,2023-04-20
99,13,P004,10,158.97,1589.7,2023-10-30
100,1,P005,7,400.96,2806.72,2024-08-02
